2012-11-08 14:37:35:562> DBError('ICON001-ADB4E35' 시스템에서 '(알 수 없음)' 사용자가 'TB_DEVICEPASSWD' 테이블을 단독 사용 모드로 잠궜습니다) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 2,'0','1111','Y','Y','L','N') 
2012-11-08 14:37:36:390> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 1,'2','1111','Y','Y','L','N') 
2012-11-08 14:37:57:531> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 2,'0','1111','Y','Y','L','N') 
2012-11-08 14:37:57:546> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 1,'2','1111','Y','Y','L','N') 
2012-11-08 14:37:58:171> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 2,'0','1111','Y','Y','L','N') 
2012-11-08 14:37:58:187> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 1,'2','1111','Y','Y','L','N') 
2012-11-08 14:37:58:453> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 2,'0','1111','Y','Y','L','N') 
2012-11-08 14:37:58:453> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 1,'2','1111','Y','Y','L','N') 
2012-11-08 14:37:58:640> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 2,'0','1111','Y','Y','L','N') 
2012-11-08 14:37:58:640> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 1,'2','1111','Y','Y','L','N') 
2012-11-08 14:37:58:828> DBError(INSERT INTO 문에 알 수 없는 파일 이름 'DE_DOOR1'이(가) 있습니다. 이름을 올바로 입력하였는지 확인하고 작업을 다시 시도하십시오) Insert Into TB_DEVICEPASSWD(  GROUP_CODE, ND_NODENO, DE_DEVICEID, PA_PASSWORD, DE_DOOR1 , DE_USEACCESS, DE_PERMIT,  DE_RCVACK)  Values( '1234567890', 2,'0','1111','Y','Y','L','N') 
